Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,priceXvol,Day_Perc_Change,Trend,typical,ma14,standardDeviation
2018-06-22,1169.29,1171.49,1175.0,1159.65,1710000.0,6,2018,1999485900.0,-0.00012826652072794875,Slight or No change,1167.98,1156.9073809523818,17.0148666608032
2018-06-25,1139.28,1155.0,1155.99,1119.9,2880000.0,6,2018,3281126400.0,-0.025665147226094483,Slight or No change,1138.39,1155.8500000000008,17.70923362417832
2018-06-26,1132.62,1144.14,1146.87,1129.0,1730000.0,6,2018,1959432600.0,-0.005845797345692128,Slight or No change,1136.1633333333332,1155.1478571428581,18.314620734865183
2018-06-27,1116.94,1136.0,1146.21,1116.7,1730000.0,6,2018,1932306200.0,-0.013844007698963323,Slight or No change,1126.6166666666666,1154.515476190477,19.178797214019514
2018-06-28,1126.78,1112.39,1134.0,1106.07,1490000.0,6,2018,1678902200.0,0.008809783873797937,Slight or No change,1122.283333333333,1153.8519047619059,20.168799112278048
2018-06-29,1129.19,1132.31,1141.36,1127.02,1580000.0,6,2018,1784120200.0,0.002138838105042673,Slight or No change,1132.5233333333333,1153.3169047619058,20.657538574068287
2018-07-02,1142.11,1115.35,1142.99,1106.6,1160000.0,7,2018,1324847600.0,0.011441829984324858,Slight or No change,1130.5666666666666,1152.2154761904771,21.47341399801917
2018-07-03,1116.28,1149.42,1149.91,1114.43,822390.0,7,2018,918017509.2,-0.022616035233033568,Slight or No change,1126.8733333333332,1150.7242857142867,22.507349661098523
2018-07-05,1141.29,1124.6,1144.14,1123.12,1430000.0,7,2018,1632044700.0,0.022404772996022396,Slight or No change,1136.1833333333334,1149.1016666666678,22.690707603303604
2018-07-06,1155.08,1141.77,1156.2,1137.24,1090000.0,7,2018,1259037200.0,0.012082818564957076,Slight or No change,1149.5066666666667,1148.4266666666676,22.514868591498907
2018-07-09,1167.28,1160.0,1167.93,1157.23,1080000.0,7,2018,1260662400.0,0.010562038992970145,Slight or No change,1164.1466666666665,1147.8011904761913,21.895705765116016
2018-07-10,1167.14,1169.99,1173.5,1162.56,1070000.0,7,2018,1248839800.0,-0.00011993694743328565,Slight or No change,1167.7333333333333,1147.3271428571436,21.341054126001914
2018-07-11,1171.46,1155.62,1180.44,1155.37,1660000.0,7,2018,1944623600.0,0.00370135545007444,Slight or No change,1169.09,1145.890952380953,18.836167357845085
2018-07-12,1201.26,1174.86,1201.99,1173.1,2210000.0,7,2018,2654784600.0,0.02543834189814409,Slight or No change,1192.1166666666668,1147.155238095239,21.327371431128682
2018-07-13,1204.42,1202.8,1210.44,1195.29,1630000.0,7,2018,1963204600.0,0.002630571233538159,Slight or No change,1203.3833333333334,1149.6840476190484,25.647818526674044
2018-07-16,1196.51,1203.81,1208.71,1193.4,1340000.0,7,2018,1603323400.0,-0.0065674764616995285,Slight or No change,1199.54,1154.0519047619057,28.612132646038564
2018-07-17,1213.08,1182.74,1218.76,1182.0,2010000.0,7,2018,2438290799.9999995,0.0138486097065631,Slight or No change,1204.6133333333335,1158.9411904761914,31.0635690820446
2018-07-18,1212.91,1208.53,1221.59,1204.56,1950000.0,7,2018,2365174500.0,-0.00014013914993227242,Slight or No change,1213.0199999999998,1165.1128571428583,32.688129392407845
2018-07-19,1199.1,1206.65,1216.48,1197.73,1920000.0,7,2018,2302272000.0,-0.011385840664187907,Slight or No change,1204.4366666666667,1170.9809523809533,31.76910659848878
2018-07-20,1197.88,1199.24,1210.77,1196.59,1900000.0,7,2018,2275972000.0,-0.0010174297389706766,Slight or No change,1201.7466666666667,1175.9254761904772,30.691835591541945
2018-07-23,1211.0,1195.66,1215.1,1192.01,3270000.0,7,2018,3959970000.0,0.01095268307342967,Slight or No change,1206.0366666666666,1181.3161904761914,28.673599515194127
2018-07-24,1258.15,1271.0,1275.0,1244.14,5380000.0,7,2018,6768847000.000001,0.03893476465730816,Slight or No change,1259.0966666666668,1190.7607142857155,31.04001187270457
