Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,priceXvol,Day_Perc_Change,Trend
2018-12-14,1051.71,1060.02,1071.72,1049.37,1820000.0,12,2018,1914112200.0,-0.020334593960169123,Slight or No change
2018-12-13,1073.54,1075.67,1088.42,1064.99,1250000.0,12,2018,1341925000.0,-0.00017695323777866534,Slight or No change
2018-12-12,1073.73,1077.08,1091.73,1071.97,1450000.0,12,2018,1556908500.0,0.01137851457636696,Slight or No change
2018-12-11,1061.65,1066.94,1070.4,1050.1,1690000.0,12,2018,1794188500.0000002,0.008042309956512783,Slight or No change
2018-12-10,1053.18,1042.94,1059.6,1033.0,1680000.0,12,2018,1769342400.0,0.006306254658029031,Slight or No change
2018-12-07,1046.58,1072.23,1085.03,1039.37,2130000.0,12,2018,2229215400.0,-0.029218610863757766,Slight or No change
2018-12-06,1078.08,1045.0,1079.42,1042.48,2370000.0,12,2018,2555049600.0,0.014692179543893014,Slight or No change
2018-12-04,1062.47,1112.99,1114.24,1060.78,2280000.0,12,2018,2422431600.0,-0.04827295854383884,Slight or No change
2018-12-03,1116.36,1132.16,1135.0,1111.73,2880000.0,12,2018,3215116799.9999995,0.006046951741540019,Slight or No change
2018-11-30,1109.65,1095.63,1109.65,1083.18,2980000.0,11,2018,3306757000.0000005,0.01376783789215974,Slight or No change
2018-11-29,1094.58,1083.53,1100.15,1082.0,1550000.0,11,2018,1696599000.0,0.0025554364850381983,Slight or No change
2018-11-28,1091.79,1057.46,1092.86,1042.95,2300000.0,11,2018,2511117000.0,0.037547040711597646,Slight or No change
2018-11-27,1052.28,1051.34,1066.76,1045.5,1650000.0,11,2018,1736262000.0,-0.0034661060287517476,Slight or No change
2018-11-26,1055.94,1044.0,1057.0,1039.77,1580000.0,11,2018,1668385200.0,0.02508494320939736,Slight or No change
2018-11-23,1030.1,1033.5,1043.0,1028.52,708860.0,11,2018,730196685.9999999,-0.012775174185139515,Slight or No change
2018-11-21,1043.43,1045.31,1054.7,1039.45,1490000.0,11,2018,1554710700.0,0.012596438449221203,Slight or No change
2018-11-20,1030.45,1007.29,1037.35,1002.21,2720000.0,11,2018,2802824000.0,0.0029491347258181477,Slight or No change
2018-11-19,1027.42,1063.39,1068.0,1022.87,2280000.0,11,2018,2342517600.0,-0.03823939640727525,Slight or No change
2018-11-16,1068.27,1065.23,1072.44,1054.9,1770000.0,11,2018,1890837900.0,-0.002595583772933119,Slight or No change
2018-11-15,1071.05,1051.46,1078.87,1041.29,2080000.0,11,2018,2227784000.0,0.01561759183750877,Slight or No change
2018-11-14,1054.58,1060.0,1065.79,1041.11,1730000.0,11,2018,1824423399.9999998,0.006307432464669693,Slight or No change
2018-11-13,1047.97,1054.81,1066.66,1040.4,1290000.0,11,2018,1351881300.0,-0.0013246169093541482,Slight or No change
2018-11-12,1049.36,1073.13,1074.1,1040.35,1700000.0,11,2018,1783911999.9999998,-0.02568197433659547,Slight or No change
2018-11-09,1077.02,1084.02,1088.35,1064.26,1740000.0,11,2018,1874014800.0,-0.016087627782903957,Slight or No change
2018-11-08,1094.63,1107.3,1108.22,1084.36,1690000.0,11,2018,1849924700.0000002,-0.012280733415144685,Slight or No change
2018-11-07,1108.24,1083.49,1109.93,1080.59,2170000.0,11,2018,2404880800.0,0.036154716381349594,Slight or No change
2018-11-06,1069.57,1055.02,1079.82,1053.61,1430000.0,11,2018,1529485100.0,0.013109412444469726,Slight or No change
2018-11-05,1055.73,1072.53,1073.35,1034.0,2270000.0,11,2018,2396507100.0,-0.0147084900465706,Slight or No change
2018-11-02,1071.49,1089.0,1098.0,1067.66,2170000.0,11,2018,2325133300.0,-0.013342787159984493,Slight or No change
2018-11-01,1085.98,1091.4,1099.9,1077.82,2009999.9999999998,11,2018,2182819800.0,-0.004217939078288491,Slight or No change
2018-10-31,1090.58,1068.2,1108.0,1068.2,3550000.0,10,2018,3871558999.9999995,0.03913254756981832,Slight or No change
2018-10-30,1049.51,1020.01,1050.9,1013.97,2990000.0,10,2018,3138034900.0,0.014283919476578477,Slight or No change
2018-10-29,1034.73,1096.54,1108.83,1007.2,4059999.9999999995,10,2018,4201003799.9999995,-0.0452318339100346,Slight or No change
2018-10-26,1083.75,1048.33,1117.0,1042.23,5320000.0,10,2018,5765550000.0,-0.017977690990313322,Slight or No change
2018-10-25,1103.59,1080.3,1117.82,1075.55,3650000.0,10,2018,4028103499.9999995,0.04395905857423954,Slight or No change
2018-10-24,1057.12,1115.0,1116.62,1055.06,2460000.0,10,2018,2600515199.9999995,-0.051833780305136856,Slight or No change
2018-10-23,1114.91,1091.29,1118.0,1079.01,1880000.0,10,2018,2096030800.0000002,0.0031852578349247374,Slight or No change
2018-10-22,1111.37,1112.51,1121.69,1100.0,1360000.0,10,2018,1511463199.9999998,0.005600897591342413,Slight or No change
2018-10-19,1105.18,1103.71,1120.95,1097.03,2060000.0,10,2018,2276670800.0,0.006621672086054353,Slight or No change
2018-10-18,1097.91,1130.0,1132.35,1086.34,2310000.0,10,2018,2536172100.0,-0.026321623994536858,Slight or No change
2018-10-17,1127.59,1140.0,1147.0,1114.0,1780000.0,10,2018,2007110199.9999998,-0.004845200691919405,Slight or No change
2018-10-16,1133.08,1113.48,1136.37,1111.75,1920000.0,10,2018,2175513600.0,0.027792895758499192,Slight or No change
2018-10-15,1102.44,1118.0,1121.8,1098.22,1500000.0,10,2018,1653660000.0,-0.01615292626769227,Slight or No change
2018-10-12,1120.54,1119.64,1125.83,1095.03,2470000.0,10,2018,2767733800.0,0.027320901406384657,Slight or No change
2018-10-11,1090.74,1079.04,1116.06,1075.89,3380000.0,10,2018,3686701200.0,-0.0013001757984179019,Slight or No change
2018-10-10,1092.16,1136.4,1137.02,1091.51,2950000.0,10,2018,3221872000.0000005,-0.046290070469886535,Slight or No change
2018-10-09,1145.17,1151.31,1161.55,1144.17,1680000.0,10,2018,1923885600.0000002,-0.009299951553740748,Slight or No change
2018-10-08,1155.92,1160.0,1175.86,1135.4,2310000.0,10,2018,2670175200.0,-0.010198402164698472,Slight or No change
2018-10-05,1167.83,1176.0,1182.0,1154.32,1590000.0,10,2018,1856849700.0,-0.007850000424783565,Slight or No change
